iter	MAPE	MAE
0	0.2929242035	58034.61673
1	0.292416008	57972.7103
2	0.2919085821	57909.13108
3	0.2914495349	57853.98166
4	0.2911999068	57822.02026
5	0.2907740849	57766.45377
6	0.2905145897	57726.72864
7	0.2898339722	57585.01824
8	0.2894698417	57526.71543
9	0.288979267	57455.292
10	0.2887728203	57430.24061
11	0.2885150854	57389.16788
12	0.2882017053	57351.4244
13	0.2878850723	57305.49014
14	0.2874796503	57255.69232
15	0.2872110015	57195.09598
16	0.286852262	57145.28759
17	0.2861889286	57019.81813
18	0.2859024975	56995.82452
19	0.2856790298	56974.93091
20	0.2853847704	56935.26542
21	0.2850046366	56894.79408
22	0.2846373679	56861.31774
23	0.2842099507	56799.62124
24	0.2839861494	56776.15519
25	0.2836519092	56711.03245
26	0.2834666783	56688.88555
27	0.2831776553	56652.16663
28	0.2829664351	56632.71206
29	0.2823366842	56492.54416
30	0.2820169159	56454.11306
31	0.2818129701	56436.57637
32	0.2817081542	56423.75617
33	0.2813726889	56372.45647
34	0.2811965116	56359.22607
35	0.2809678151	56322.89391
36	0.2807159335	56300.0824
37	0.2803561489	56239.12292
38	0.2801186465	56214.4732
39	0.2797379611	56162.37829
40	0.2795095295	56131.52799
41	0.2794302771	56125.01421
42	0.2791418711	56092.74048
43	0.2787825003	56045.64419
44	0.2784938064	55993.03475
45	0.2783609865	55976.21323
46	0.2781188237	55945.99846
47	0.2780522876	55940.3643
48	0.2779748335	55933.34355
49	0.2778536659	55923.38771
50	0.2777197972	55911.3926
51	0.2775674552	55890.5839
52	0.2772022265	55831.9996
53	0.2769587736	55799.47793
54	0.2766354066	55720.84055
55	0.2763508302	55673.78698
56	0.2760227005	55625.85961
57	0.2758874495	55612.52931
58	0.2756781202	55595.79415
59	0.2754562035	55567.45148
60	0.2753249639	55555.57674
61	0.2752453942	55546.99114
62	0.2750990011	55532.07387
63	0.2748353402	55491.65797
64	0.2745980825	55458.41074
65	0.2744690022	55445.30831
66	0.2744253604	55440.15515
67	0.2743516205	55432.71594
68	0.2742172497	55420.11706
69	0.2738031967	55323.49125
70	0.2736288701	55301.27648
71	0.2735000462	55287.41707
72	0.2732947696	55270.70182
73	0.2732633896	55268.20428
74	0.2731231989	55256.06457
75	0.2730348699	55244.69965
76	0.272894513	55219.62955
77	0.2726975629	55189.15388
78	0.2724593232	55141.74738
79	0.2722418611	55121.05031
80	0.2719422935	55082.32535
81	0.2718488773	55058.71221
82	0.271764956	55047.79158
83	0.2716439446	55029.25838
84	0.2715514284	55019.16911
85	0.2714292458	55009.34231
86	0.2713318026	54999.6348
87	0.2711393844	54972.14111
88	0.2709741534	54943.48
89	0.270816828	54921.79453
90	0.270559996	54878.93588
91	0.2704447838	54866.45213
92	0.2702703603	54844.30394
93	0.2700828162	54821.54824
94	0.2700611498	54819.70227
95	0.2699174819	54796.47762
96	0.2698369306	54788.00476
97	0.2696519342	54753.82127
98	0.2695183308	54742.39021
99	0.2694184544	54731.12821
100	0.2692225093	54701.61038
101	0.2689815909	54669.41458
102	0.2688951707	54657.00668
103	0.2686386682	54622.31522
104	0.2685242353	54612.13762
105	0.2684209511	54603.46771
106	0.2684016223	54601.81555
107	0.2682739691	54569.61376
108	0.2681919093	54554.51722
109	0.2679670137	54526.80336
110	0.267705872	54468.81253
111	0.2676094716	54459.64847
112	0.2675317155	54446.88793
113	0.2674104801	54435.46475
114	0.2672662295	54405.87982
115	0.267123595	54373.96183
116	0.2670221573	54357.23899
117	0.2669378172	54341.50477
118	0.2668827274	54334.71523
119	0.2668297779	54328.06387
120	0.266677184	54307.8427
121	0.2664148275	54267.22853
122	0.2663299404	54252.73085
123	0.2662388038	54234.4925
124	0.2661215736	54219.22707
125	0.2660837995	54216.8209
126	0.2660122299	54207.18677
127	0.265751597	54165.96149
128	0.265671186	54152.59334
129	0.2655903541	54139.74974
130	0.2654093513	54122.74853
131	0.2653894692	54120.63688
132	0.2652476804	54110.06137
133	0.2652045454	54104.43675
134	0.2649494536	54055.87765
135	0.2647087047	54015.58368
136	0.2646319067	54001.72269
137	0.264607327	53999.15139
138	0.264546756	53985.25066
139	0.2645165656	53981.98027
140	0.2644164199	53963.63258
141	0.2643485968	53958.822
142	0.2642614014	53949.91883
143	0.2641801307	53941.20631
144	0.2640046322	53908.58141
145	0.2638852997	53896.18393
146	0.2637219561	53867.14705
147	0.2633858114	53816.43581
148	0.2632772119	53806.24696
149	0.2631584211	53797.12856
150	0.263082081	53783.53735
151	0.2629707558	53762.34816
152	0.2627892768	53748.53572
153	0.2626810628	53739.34466
154	0.262509304	53711.37366
155	0.2624031843	53701.04355
156	0.2622475173	53677.99441
157	0.2622347207	53676.74762
158	0.2621547495	53662.16572
159	0.2620534195	53653.89648
160	0.2619999189	53647.46426
161	0.2619740659	53642.61888
162	0.2618803814	53631.28132
163	0.2618776922	53631.08382
164	0.2616541891	53600.46153
165	0.2614526809	53567.63325
166	0.2613671368	53560.63492
167	0.261335409	53558.47017
168	0.2612447276	53543.8335
169	0.2611659655	53529.56348
170	0.2611139682	53523.9263
171	0.261030903	53507.62612
172	0.2608360301	53484.80867
173	0.2606679886	53455.78604
174	0.2606334928	53449.67459
175	0.260560681	53441.17436
176	0.2604789233	53426.32111
177	0.2604766036	53426.15102
178	0.2603118277	53389.00262
179	0.2602268637	53380.66562
180	0.260073024	53367.88671
181	0.2599496604	53343.49785
182	0.2598244307	53334.23306
183	0.2595929876	53291.69197
184	0.2595028088	53273.65612
185	0.2593540123	53251.6179
186	0.2591829523	53226.30356
187	0.2591729793	53224.8526
188	0.2590338569	53198.01195
189	0.2588886781	53180.67894
190	0.2587793057	53165.73264
191	0.2587473909	53161.35228
192	0.2585989365	53139.73031
193	0.2584685016	53111.77327
194	0.25846467	53111.42144
195	0.2583701114	53100.92496
196	0.2579667585	53007.02012
197	0.2579127257	53001.90928
198	0.2578091881	52982.87774
199	0.2576638139	52962.20785
200	0.2575769331	52955.4307
201	0.257446819	52935.04291
202	0.2573948306	52926.62131
203	0.257303294	52911.1565
204	0.2571439296	52891.41307
205	0.2570626953	52884.42367
206	0.2569333527	52869.44386
207	0.2566982367	52830.57401
208	0.256566139	52812.31565
209	0.2564919519	52798.68085
210	0.2563661032	52778.9737
211	0.2562510302	52768.70923
212	0.2562123382	52765.17402
213	0.2561470813	52759.34153
214	0.2560560306	52746.59326
215	0.255852856	52725.65862
216	0.2556258869	52686.94068
217	0.2555643544	52680.24947
218	0.255403518	52657.46285
219	0.2553444192	52647.56899
220	0.2551807697	52625.96806
221	0.2550347122	52607.17251
222	0.2548981725	52584.63686
223	0.2548538007	52575.25841
224	0.2548461907	52574.50969
225	0.2547327458	52552.43017
226	0.2546645658	52543.3619
227	0.2545472989	52523.82505
228	0.2544636455	52512.01388
229	0.2543744313	52502.92976
230	0.254342349	52495.85446
231	0.2542878576	52490.15804
232	0.2541741296	52474.39256
233	0.2541015505	52463.76509
234	0.2540181557	52454.2137
235	0.2539416318	52438.83733
236	0.2538299578	52409.72612
237	0.2537601292	52402.56694
238	0.253633049	52367.69874
